"","score","label","PC1","PC2","age","Al","Si","S","K","Ca","Ti","Mn","Fe","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Pb"
"35","sites","36",0.577197775483314,-0.0389783207437037,NA,1.26932998442127,0.253698931500665,-0.528490790007327,0.825814165165034,-0.423225049717693,0.445573243911191,-0.252038338885563,1.11097387714528,2.04412311594756,0.728486525228931,0.982819487701643,0.612059821324992,-0.550270653978287,0.962025235235579,-0.387964817690857,-1.32207390444116,0.0142562283094607
"36","sites","37",0.911676607559288,-0.184497975504796,NA,1.18058380074475,0.426636697666193,-0.0861105219566781,1.11242484803941,-0.340202499921991,1.41496199217717,0.625948407904446,1.54343206554305,0.724092395493998,1.5385553148889,-0.123506629213658,1.21934397156917,-0.756308031194949,-0.26199064364271,-0.2734092522846,-0.0536908394663296,0.85981753189654
"37","sites","39",-0.696016191533454,-0.133210807129769,NA,0.177236130191816,1.04666998535792,-0.285652188118113,-0.298043727742605,0.356078598548157,0.177218800572425,-0.169874203376531,-0.509689116463187,-0.386684349011624,-0.639960351872378,-0.0158776178395449,-0.689716385856403,0.189039934857965,-0.943428055203102,0.14573285551694,-0.623809413001406,-1.08329354323403
"38","sites","40",-0.0760392733016429,-0.571660781788041,NA,0.120654223282035,-0.649101019384277,-0.375713592288547,0.25047292286993,-0.740734219907445,-0.465218510073847,-0.263322362952742,0.136650148724356,0.635985458252759,0.316334912598419,0.264458411786052,0.440286671778117,-0.787280970253662,-0.891998816594771,-0.577995794679882,-0.0458451710231865,0.120651359224391
"39","sites","41",-0.343304790453232,-0.194706330251229,NA,0.51251260705693,0.527976692398101,-0.385313395894129,-0.109031711220673,-0.393737622112797,-0.0848758317032884,-0.0727269763080984,-0.282880894382324,0.0412636318743949,-0.588198767868546,0.352063421044051,0.0824699879527799,-0.601667777488762,-0.691424786022278,0.563085032609006,-0.843488129409417,-0.299329420702966
"40","sites","47",-1.0486543449546,0.629662407468859,1069,-1.14516075073742,-0.299699366919732,-0.477742706646122,-0.956867057956222,-0.213552483262653,0.303232454205971,-0.494458034739405,-0.834599287833968,-0.995566218875187,-0.711132529877647,-0.491447668097253,-1.1611676147666,-0.172759904001792,-0.940856593272686,2.759628334917,0.296749017660736,-0.766908022355424
"41","sites","48",0.778621453654843,0.0678383154703271,1422,0.840478516007532,0.296505161796051,0.0249348520768361,1.00655753855329,-0.684065749604407,0.908691705685963,0.388722352266956,1.29660494762154,-0.473217948087841,1.05393748465303,1.85636658001712,1.3498915652248,-0.0968986474666817,1.07516956017391,-0.574714255045849,0.587038750057036,0.689025348059415
"42","sites","49",0.654562188038964,1.88474118136913,1581,0.785403441580131,2.18320582663616,-0.528480670748431,0.334430155531588,0.00147686200209158,2.42027474207648,-0.087859525139912,0.938532742716507,0.0601436898546605,0.101524338982516,-1.05712572787747,0.336165716514318,-0.0490925893543194,2.77490589617926,3.1948798191038,0.57396263598513,0.862617403762723
"43","sites","50",1.23863219782114,-0.294270896697185,1734,1.0023546825789,0.067219263948719,0.0055092480836705,1.55124210463974,-1.80790057937248,1.01788346154869,3.85448704225138,1.70035054597706,-0.089323435822442,1.41950367168009,1.25064051600467,1.78011723824374,-1.14818304276389,0.280587823675187,-0.537722353716745,0.409203598679122,1.39459305833737
"44","sites","51",0.937176282588067,-0.881437049403955,1883,1.29544471068733,-0.113852068969327,-0.308127062125139,1.71736282827,-2.05089108075426,0.21168002848655,-0.422307536482042,1.31506869816401,0.486518332575657,1.02029245505053,-0.924466713858219,1.45929784816696,-1.83789204078873,0.409160920196016,-0.75430396956295,-0.872255580367609,0.462235726898642
"45","sites","53",1.1570905818012,-0.974268932236709,2189,1.97681422182678,0.475636830754594,-0.269282600311405,1.95274222410531,-2.06638116753296,0.263931166191548,-0.46479076616543,1.59339290818364,0.403131409829484,0.977589148247373,-0.24865664243937,1.4323426770073,-1.9826568646501,-0.529422684406034,-1.14152564637889,0.359514365205882,0.985811765874747
"46","sites","54",-0.769178223573159,0.857784422883164,2340,-0.675550505264584,0.0472379165256193,-0.319932864169953,-0.912951313057183,0.517150313913684,1.06359514027373,-0.0642826404167655,-0.905966777501423,-0.748552126966713,-0.623137837071132,1.14050850436604,-0.655890288714865,0.263105658694018,0.368017529309351,1.35274279727141,-0.275984778688722,-0.467321732673909
"47","sites","55",0.392207709891966,-0.153382035130769,2493,0.97156738683177,0.443360873534655,-0.0973968687115197,0.688682893881383,-0.552885487526286,0.651910383831466,3.85448704225138,0.804680450935418,1.27948076774681,0.447032912208094,0.945274483733929,1.00211700398836,-0.0475214982426457,0.49659062583018,-0.287132054390558,-1.33515001851306,-1.38287983291555
"48","sites","56",1.1064653748347,0.0790139435651019,2647,1.15977909659518,0.185360033827877,-0.2392486399094,1.50807984371208,-1.26804533073355,0.844437218932224,-0.604383858599146,1.78431759245844,0.445611540285082,0.623022297821124,0.597357446966448,1.61204381807172,-0.799400815972289,0.609734950768508,-0.288325341530206,1.57036252826432,1.48138908618903
"49","sites","57",0.919471160790566,-0.681759188707448,2953,1.59997555537625,0.766895800655977,-0.185532240605499,1.731487841226,-1.00292281824134,0.37045551115456,-0.67055606595999,1.42118576552427,-0.00593651307626909,1.16198979126102,-0.493950668361767,1.51743645262898,-0.801196348671345,-0.0845597704439666,-0.439574486480655,-0.0850735132389028,0.67222611686232
"50","sites","59",0.306409607545155,-0.346160441839907,3330,1.01160816168498,0.354877216644023,0.0945418609330557,0.923221649017281,-0.0524588473547778,-0.114669090542903,-0.469349212974025,0.58189688728826,0.132517245445678,0.501382575412118,-0.361291654342512,0.784361503639704,0.14437605896895,0.167443498736858,-0.390053070185242,0.173833545384824,0.700224835524144
"51","sites","60",0.128388555691237,-0.881270035509717,3461,0.583255961729684,-0.312287607285254,0.805402932914252,0.529413813677436,-0.66105132921079,-0.162962134654769,3.82085915595846,0.472700128255336,-1.21111354748322,1.21375137526486,0.937765482940386,0.86734114819004,-0.340866652950897,-0.102560003956883,-0.52012136840693,-1.25930855689601,-0.63251417277867
"52","sites","64",-0.325405351220528,-0.194541270983054,3923,0.324370336578425,-0.0923017129857435,0.151034310260637,0.235040558993437,0.387146884089513,-0.272519583947301,0.396083122933294,0.00888524282107994,-0.781592228432178,0.0924660617818454,-0.0634346228653156,0.243143949375087,0.89356207765001,0.172586422597691,0.294893747973004,-0.323058789347581,-0.313328780033878
"53","sites","67",-0.46472173951543,-0.365218818076825,4418,0.227692797780365,-0.574460554376623,4.88474604061607,0.160468137885747,0.513706209877564,-0.460851700294467,-0.158478086355042,-0.24448284502354,0.0617170280196824,0.34674484320067,0.997837489288728,0.0666140049176839,0.705255585836526,0.162300574876025,-0.118580245915205,0.194755327899873,-1.03289584964275
"54","sites","68",0.392387006259731,0.0293880750335775,4598,0.866098140172232,0.198275948885987,0.0583958681581358,0.757626677262576,0.320891829932535,0.821118884937898,-0.523751660132347,0.708175045487493,-0.757992155956846,1.37550632527683,0.20438640543771,0.929708014794752,0.970769983709412,1.53803270764889,0.210767004627783,-1.30376734474049,0.80102022270671
"55","sites","69",0.110234886156429,-0.76531460116065,4811,1.33100873484288,0.264284951829008,-0.219580173702741,1.02574888776461,0.0554039750678433,-0.0923402799468592,-0.359834396613419,0.469521440064851,-0.986126189885055,0.655373287823519,-0.81934070274862,0.543350561506242,0.460614255590164,-0.598852156527282,-0.45150735787714,-0.163530197670335,0.0422549469712844
"56","sites","71",0.554899374042603,-0.500671617713316,5192,1.51378751495553,0.293005425858589,-0.250825072085914,1.34937306497931,-0.570668205145955,0.386761135848009,-0.575762790932062,0.992653239042384,0.0239569120591515,0.281395843395832,0.477213434269763,1.14852058067908,-0.58550798319726,-0.125703161330632,-0.552638442962351,-0.124301855454619,0.291443543061517
"57","sites","72",0.364123550472006,0.0123540952558691,5363,0.308287503802206,0.388011936889472,0.817815890492799,0.354841698935366,-0.853764272920635,0.572253750269667,2.39279491805251,1.04958523647445,-0.108203493802707,0.979530207647517,0.0667213908894255,0.650642713377059,-0.36937073454841,1.19602827090349,0.285347450855815,-0.490433049467971,-0.702510969433229
"58","sites","73",0.212114811907138,-0.681518090260229,5535,0.668746831729985,-0.24820209734288,2.04720802679999,0.987037242981326,-0.495874455022227,-0.39952276097913,0.494463372499134,0.883384482541952,-0.182150387558748,0.834597772436787,0.494734436121363,0.859941689440328,-0.039441601096894,0.604592026907675,-0.467616734262395,-0.613348521743882,-0.699711097567047
"59","sites","74",0.774358505969454,-0.166955062544676,5703,1.90429183267483,1.06510189959178,-0.150738855436285,1.646366644519,0.147458218125868,0.519077623301055,-0.0160079414273752,1.07394917947921,1.86948257963011,1.0293507322512,-0.133518630271715,1.20877331621244,0.183653336760797,0.612306412698925,0.0380386911636616,-0.940251373541517,-0.293729676970601
"60","sites","75",0.0891752112173172,-0.704643853682048,6050,0.922599497511526,0.113671619914359,-0.287092495967581,0.93298320255694,0.48709037332038,-0.170405071520117,-0.423129551480313,0.760045620953739,-1.26775372142402,0.465796486409484,-0.666657686613251,0.684997343286434,0.740492915055497,0.0902996408243604,-0.534739135867624,-1.17300620402143,1.05580856252931
