"","depth","Textularia.bocki","Trochammina.inflata","Adelosina.bicornis","Adelosina.laevigata","Adelosina.striata","Cornuspira.involvens","Massilina.secans","Miliolinella.subrotunda","Miliolinella.webbiana","Quinqueloculina.berthelotiana","Quinqueloculina.lata","Quinqueloculina.oblonga","Quinqueloculina.seminula","Siphonaperta.quadrata","Triloculina.marioni","Triloculina.trigonula","Ammonia.beccarii","Asterigerinata.mamilla","Aubignyna.hamblensis","Bolivina.pseudoplicata","Brizalina.variabilis","Bulimina.elongata","Bulimina.gibba","Cassidulina.carinata","Cibicides.lobatulus","Cribroelphidium.excavatum","Cribroelphidium.oceanensis","Cribroelphidium.selseyense","Discorbis.sp.","Elphidium.crispum","Elphidium.margaritaceum","Fissurina.lucida","Fissurina.marginata","Gavelinopsis.praegeri","Gyroidina.sp.","Haynesina.depressula","Haynesina.germanica","Nonionella.atlantica","Nonionoides.boueanum","Planorbulina.mediterranensis","Rosalina.irregularis","Rosalina.anomala","Spirillina.vivipara","Trichohyalus.aguayoi"
"41",-1284,0,0,0,0,0,2,0,0,0,0,1,2,19,0,5,3,43,0,10,0,3,10,4,0,0,0,0,32,0,1,0,1,0,0,0,2,0,3,0,0,0,2,0,0
"42",-1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"43",-1334,0,0,0,0,0,1,0,2,0,0,0,3,9,0,0,3,265,0,0,2,0,1,1,0,2,14,0,4,0,0,5,0,0,0,0,0,11,0,0,0,9,0,1,2
"44",-1359,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,132,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",-1405,0,0,0,1,0,0,0,0,0,0,0,1,12,0,0,3,246,0,1,0,0,0,0,0,1,10,0,56,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",-1430,4,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,197,0,2,0,0,3,0,0,0,14,0,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",-1455,0,0,0,3,1,1,0,0,0,0,1,0,7,0,0,4,252,0,7,0,1,0,0,0,0,0,0,47,0,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0
"48",-1473,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,276,0,1,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",-1498,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,184,0,1,0,0,1,0,0,0,0,0,50,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"50",-1523,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,105,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",-1548,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,1,111,1,1,0,0,0,0,0,1,2,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"52",-1570,0,0,1,0,1,3,0,0,0,0,0,3,12,1,0,0,119,1,1,0,2,1,0,0,0,3,0,14,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
"53",-1595,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,297,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"54",-1620,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,95,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"55",-1645,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,7,280,0,0,0,0,2,0,1,1,3,0,22,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0
"56",-1670,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,324,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"57",-1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,11,0,10,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
