sample_id;depth;sand
S2_C11_31.2_31.8M;31,5;7,74
S2_C11_31.2_31.8B;31,8;46,94
S2_C11_31.8_32.4T;31,9;18,03
S2_C11_31.8_32.4M;32,1;54,28
S2_C11_31.8_32.4B;32,4;62,17
S2_C11_32.4_33.0T;32,5;66,37
S2_C11_32.4_33.0M;32,7;47,65
S2_C11_32.4_33.0B;33;0,85
S2_C12_33.0_33.6T;33,1;0,74
S2_C12_33.0_33.6M;33,3;0,88
S2_C12_33.0_33.6B;33,6;1,54
S2_C12_33.6_34.2T;33,7;1,48
S2_C12_33.6_34.2M;33,9;0,22
S2_C12_33.6_34.2B;34,2;0,54
S2_C12_34.2_34.8T;34,3;0,20
S2_C12_34.8_35.4T;34,9;0,00
S2_C12_34.8_35.4M;35,1;1,81
S2_C12_34.8_35.4B;35,4;0,43
S2_C12_35.4_36.0T;35,5;1,26
S2_C12_35.4_36.0M;35,7;3,30
S2_C12_35.4_36.0B;36;5,53
S2_C13_36.0_36.6T;36,1;1,66
S2_C13_36.0_36.6M;36,3;1,04
S2_C13_36.0_36.6B;36,6;1,20
S2_C13_36.6_37.2T;36,7;1,24
S2_C13_36.6_37.2M;36,9;0,45
S2_C13_36.6_37.2B;37,2;1,19
S2_C13_37.2_37.8M;37,5;1,27
S2_C13_37.2_37.8T;37,9;1,50
S2_C13_37.8_38.4M;38,1;5,60
S2_C13_37.8_38.4B;38,4;3,32
S2_C13_38.4_39.0T;38,5;5,53
S2_C13_38.4_39.0M;38,7;24,54
S2_C13_38.4_39.0B;39;6,51
