"","depth","Eggerelloides.scaber","Haplophragmoides.wilberti","Jadammina.macrescens","Textularia.agglutinans","Textularia.bocki","Textularia.calva","Textularia.sp.","Trochammina.inflata","Adelosina.bicornis","Adelosina.laevigata","Adelosina.mediterranensis","Adelosina.sp.","Cornuloculina.sp.","Cornuspira.incerta","Cornuspira.involvens","Lachlanella.undulata","Massilina.secans","Miliolinella.subrotunda","Miliolid.undetermined","Pyrgo.inornata","Pyrgo.sp.","Quinqueloculina.depressa","Quinqueloculina.lata","Quinqueloculina.longirostra","Quinqueloculina.oblonga","Quinqueloculina.seminula","Quinqueloculina.stelligera","Quinqueloculina.vulgaris","Quinqueloculina.sp.1","Quinqueloculina.sp.2","Triloculina.dubia","Triloculina.marioni","Triloculina.rotunda","Acervulina.inhaerens","Ammonia.beccarii","Astacolus.crepidulus","Asterigerinata.mamilla","Aubignyna.perlucida","Bolivina.difformis","Bolivina.dilatata","Bolivina.pseudoplicata","Bolivina.striatula","Bolivinellina.pseudopunctata","Brizalina.spathulata","Brizalina.variabilis","Buccella.granulata","Bulimina.aculeata","Bulimina.elongata","Bulimina.gibba","Bulimina.marginata","Buliminella.elegantissima","Cassidulina.carinata","Cassidulina.obtusa","Cibicides.lobulatus","Cibicides.sp.","Cribroelphidium.magellanicum","Cribroelphidium.oceanensis","Cribroelphidium.poeyanum","Cribroelphidium.selseyense","Cribroelphidium.williamsoni","Elphidium.advenum","Elphidium.crispum","Elphidium.earlandi","Elphidium.flexuosum","Elphidium.gerthi","Elphidium.incertum","Elphidium.macellum","Elphidium.margaritaceum","Elphidium.sp.","Epistominella.vitrea","Favulina.melo","Fissurina.lucida","Fissurina.marginata","Fissurina.sp.","Fursenkoina.schreibersiana","Gavelinopsis.praegeri","Globobulimina.sp.","Haynesina.depressula","Haynesina.germanica","Lagena.semistriata","Lagena.sulcata","Lagena.vulgaris","Nonionella.opima","Nonionoides.turgida","Patellina.corrugata","Rectuvigerina.compressa","Reussella.aculeata","Reussoolina.laevis","Rosalina.anomala","Rosalina.globularis","Rosalina.irregularis","Rosalina.valvulata","Rosalina.williamsoni","Rosalina.sp.1","Rosalina.sp.2","Spirillina.vivipara","Svratkina.sp.","Tretomphaloides.concinnus","Trifarina.angulosa","Uvigerina.peregrina","Valvulineria.bradyana"
"35",-950,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,18,0,16,0,0,0,0,0,14,0,12,0,0,0,4,0,0,3,9,0,0,0,0,0,2,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0
"36",-970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",-990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",-1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",-1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",-1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",-1088,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,36,18,0,6,0,0,0,6,0,120,0,23,37,0,0,1,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,8,27,0,2,0,0,1,3,4,0,6,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"42",-1108,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,3,0,0,4,0,0,0,0,0,46,0,0,4,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",-1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",-1133,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,61,0,61,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"45",-1143,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,5,7,8,0,0,2,0,0,0,9,0,46,0,59,1,0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0,3,3,4,11,0,0,1,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",-1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",-1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",-1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",-1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",-1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",-1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
