"","depth","age_calyr","upper_age","lower_age","Bulimina.aculeata","Elphidium.crispum","Cibicides.sp.","Textularia.bocki","Quinqueloculina.depressa","Triloculina.dubia","Textularia.sp.","Miliolid.undetermined","Rosalina.anomala","Nonionoides.turgida","Reussoolina.laevis","Buccella.granulata","Lachlanella.undulata","Reussella.aculeata","Cornuspira.involvens","Bulimina.elongata","Bolivina.difformis","Cibicides.lobatulus","Fissurina.marginata","Elphidium.incertum","Quinqueloculina.lata","Haynesina.depressula","Spirillina.vivipara","Fissurina.sp.","Bolivina.dilatata","Fissurina.lucida","Textularia.agglutinans","Elphidium.gerthi","Rosalina.sp.1","Quinqueloculina.longirostra","Brizalina.spathulata","Bolivina.pseudoplicata","Nonionella.opima","Triloculina.rotunda","Tretomphaloides.concinnus","Elphidium.sp.","Acervulina.inhaerens","Svratkina.sp.","Miliolinella.subrotunda","Rosalina.valvulata","Bulimina.gibba","Aubignyna.perlucida","Quinqueloculina.oblonga","Adelosina.laevigata","Quinqueloculina.sp.1","Rosalina.irregularis","Quinqueloculina.stelligera","Valvulineria.bradyana","Bolivinellina.pseudopunctata","Brizalina.variabilis","Cribroelphidium.poeyanum","Quinqueloculina.seminula","Asterigerinata.mamilla","Haynesina.germanica","Cribroelphidium.oceanensis","Cribroelphidium.selseyensis","Ammonia.beccarii"
"11",696,190,121,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,39,NA,NA,3,1,19,38,2,2,NA,5,2,10,174
"12",716,206,135,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,3,1,NA,4,NA,36,22,2,NA,NA,1,2,30,118
"13",766,245,173,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,14,22,NA,8,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,3,NA,4,1,1,3,1,2,16,8,5,1,34,1,42,321
"14",786,260,189,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,18,NA,42,135
"15",806,276,205,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,18,4,6,NA,35,1,94,326
"16",826,292,221,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,9,NA,NA,1,NA,50,48,3,NA,NA,3,NA,44,68
"17",886,339,268,412,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,9,2,5,NA,4,NA,NA,20,187
"18",910,358,287,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,1,1,NA,3,NA,1,NA,181,55
"19",930,373,305,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,3,10,NA,90,132
"20",950,389,320,462,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,16,9,18,NA,NA,9,NA,NA,12,10,NA,4,14
