depth,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb,LE
36.6,48423.34,136552.53,521.44,12144.45,153911.3,3144.01,423.41,31560.22,24.59,66.32,8.7,80.2,327.15,20.41,105.15,11.57,16.15,612314.62
36.9,44383.44,108859.97,1770.22,11235.03,188556.16,1925.69,1414.28,23438.22,18.19,49.54,,75.31,404.66,14.99,59.89,8.46,16.88,605028.91
37.2,41966.66,136940.25,1672.4,10308.7,155384.57,2702.56,984.37,23708.93,27.59,59.56,10.01,69.49,348.89,13.88,102.9,10.86,13.9,625220.51
37.5,45148.83,120103.15,2788.88,12588.29,157888.17,2424.11,546.4,27230.15,18.57,64.85,12.36,73.46,325,14.15,80.62,17.5,14.86,630543.67
37.8,45229.44,120807.33,12510.11,11484.93,155703.09,2247.86,437.83,27132.38,16.27,73.72,12.87,69.24,369.83,14.13,79.68,11.83,11.37,623369.68
38.1,26393.75,85079.93,3635.41,5843.37,202425.29,1933.97,380.71,20961.82,22.8,46.68,10.8,42.26,399,15.09,59.89,8,13.52,652033.46
38.4,42836.52,138281.24,5070.4,10289.52,165246.08,2425.23,650.18,21840.86,21.34,52.11,9.79,57.09,335.96,13.91,102.16,7.7,11.34,612704.39
38.7,34297.27,148493.74,230.07,7297.19,177804.23,2636.69,449.01,18663.11,16.51,32.84,,45.74,317.39,20.15,157.24,11.92,16.08,593790.02
39,35487.88,105964.35,4501.76,11465.24,140804.38,2697.07,542.23,33554.01,33.13,72.81,21.23,75.96,362.7,18.44,80.67,16.83,9.84,663687.19
39.3,55740.48,179381.2,1644.95,17528.55,109393.65,3353.39,410.06,28075.99,35.72,65.96,12.69,89.29,261.05,27.41,205.48,23.49,20.29,603271.08
